provincia,departamento,sector,ambito,matricula_total,tasa_repitencia,tasa_sobreedad,ratio_alumnos_seccion,tasa_abandono,abandono_alto,prop_electricidad,prop_equip_establecimiento,prop_equip_biblioteca,prop_internet_estatal,prop_conexion_aulas,prop_sin_cooperadora,prop_laboratorio,prop_biblioteca
Buenos Aires,25 DE MAYO,Estatal,Rural,1234.0,0.03889789303079417,0.10048622366288493,17.380281690140844,1.0333863275039743,0,1.0,0.39625850340136054,0.11224489795918367,0.8367346938775511,0.8979591836734694,0.12244897959183673,0.20408163265306123,0.5102040816326531
Buenos Aires,25 DE MAYO,Estatal,Urbano,4086.0,0.07856093979441997,0.1426823299069995,20.636363636363637,0.7785888077858881,0,1.0,0.4244186046511628,0.09593023255813954,0.7906976744186046,0.813953488372093,0.32558139534883723,0.27906976744186046,0.813953488372093
Buenos Aires,25 DE MAYO,Privado,Urbano,1565.0,0.014057507987220448,0.03769968051118211,28.454545454545453,0.0,0,1.0,0.574074074074074,0.25,0.0,1.0,1.0,0.4444444444444444,0.6666666666666666
Buenos Aires,9 DE JULIO,Estatal,Rural,1305.0,0.034482758620689655,0.09348659003831418,17.635135135135137,1.4253563390847712,1,1.0,0.41333333333333333,0.1525,0.76,0.9,0.32,0.28,0.7
Buenos Aires,9 DE JULIO,Estatal,Urbano,6382.0,0.03447195236602946,0.12456910059542463,20.653721682847895,1.1726907630522088,0,1.0,0.44444444444444436,0.11458333333333334,0.6388888888888888,0.7222222222222222,0.2222222222222222,0.25,0.8055555555555556
Buenos Aires,9 DE JULIO,Privado,Urbano,1822.0,0.007135016465422613,0.014270032930845226,30.366666666666667,0.0547345374931581,0,1.0,0.5729166666666666,0.171875,0.0,0.875,1.0,0.625,0.625
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,454.0,0.04185022026431718,0.09251101321585903,18.16,0.625,0,0.9629629629629629,0.4166666666666667,0.15740740740740738,0.8148148148148148,0.8888888888888888,0.25925925925925924,0.14814814814814814,0.5925925925925926
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,2041.0,0.056344928956393925,0.11807937285644292,19.254716981132077,0.6979062811565304,0,1.0,0.5833333333333334,0.14583333333333337,0.6111111111111112,0.9444444444444444,0.0,0.2222222222222222,0.8333333333333334
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,495.0,0.024242424242424242,0.050505050505050504,15.46875,0.1872659176029962,0,1.0,0.38095238095238093,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.047619047619047616,0.14285714285714285,0.6190476190476191
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,1042.0,0.02399232245681382,0.09309021113243762,18.280701754385966,1.842374616171955,1,1.0,0.5128205128205128,0.22115384615384615,0.7692307692307693,0.7692307692307693,0.0,0.46153846153846156,0.8461538461538461
Buenos Aires,ALBERTI,Estatal,Rural,415.0,0.03614457831325301,0.10843373493975904,15.961538461538462,0.4514672686230248,0,1.0,0.4537037037037037,0.1875,0.6666666666666666,0.7222222222222222,0.2222222222222222,0.5,0.7777777777777778
Buenos Aires,ALBERTI,Estatal,Urbano,1263.0,0.060174188440221696,0.11084718923198733,19.734375,1.3229571984435795,1,1.0,0.42424242424242414,0.045454545454545456,0.5454545454545454,0.9090909090909091,0.2727272727272727,0.2727272727272727,0.6363636363636364
Buenos Aires,ALMIRANTE BROWN,Estatal,Urbano,77743.0,0.057201291434598615,0.15858662516239405,25.871214642262895,0.1867103176633076,0,1.0,0.47165991902834015,0.13562753036437247,0.9230769230769231,0.6882591093117408,0.22267206477732793,0.22267206477732793,0.8785425101214575
Buenos Aires,ALMIRANTE BROWN,Privado,Urbano,38067.0,0.006252134394620012,0.02267055454855912,28.07300884955752,0.0313553343262522,0,0.9421965317919075,0.49373795761079003,0.10404624277456646,0.005780346820809248,0.6011560693641619,0.9421965317919075,0.5491329479768786,0.5664739884393064
