provincia;Departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuitoEstado;InternetTipodeservicioGratuitoOtro;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Buenos Aires;25 DE MAYO;Estatal;Rural;49;49;48;3; ; ; ; ;34;35;19;9;15;17;41;14; ;2;2;31;14;8;9;3;3;4;4;10;3; ;1;41;6;1;1;2;12;31;6;4;28;44;13;22;3;31;12;6;17;15; ; ;2;10;6;25;14; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;43;43;43; ; ; ; ; ;30;28;23;6;14;13;31;20; ;5;3;30;16;14;11;2; ;1;3;2; ; ;2;34;1;8;2;2;22;15;5;2;35;35;21;21;8;23;6;14;15;15; ; ; ;12;3;35;20; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9;9;9; ; ; ; ; ;7;6;6;6;6;5;9;3; ;5; ;8;1;3;5;1;2;2;1;3;1; ;2; ; ;9;1; ;7; ; ;5;9;9;5;8;3; ; ;9;6;2; ;3;1;4;1;6;4; ;3;3;3; 
Buenos Aires;9 DE JULIO;Estatal;Rural;50;50;50; ; ; ; ; ;32;38;23;10;16;19;37;13; ;8;3;31;18;15;16;6;2;5;7;8;2; ;2;38;10;2;2;3;19;28;3;1;32;45;21;23;12;22;12;16;16;14; ; ;2;14;7;35;23; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;36;36;36; ; ; ; ; ;21;30;17;11;11;12;32;12; ;1;4;28;13;7;9;1;1;2;2;9;2; ; ;23;7;5;7;3;18;9;5;5;32;26;20;20;9;21;7;8;14;13; ;1; ;9;7;29;25; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;8;8;8; ; ; ; ; ;8;7;6;4;5;5;7;3; ;2; ;7;1;2;1;3; ;1;2;1;1; ;1; ; ;8;1;3;5; ; ;1;8;7;5;6;5; ; ;8;6;4;2; ; ;5;5;5;5; ;2;2;3; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;27;26;26; ; ; ; ; ;13;17;16;6;15;8;21;11; ;2; ;16;10;4;6;4;2;5;4;5;4; ;1;22;4; ;2; ;6;18;3;1;19;24;10;11;3;13;7;7;11;11; ; ; ;4;2;16;8; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;18;18;18;1; ; ; ; ;18;16;11;5;9;8;18;10; ;3;2;15;11;6;5;2; ;2;1;3;2; ;1;11;4;2;5;3;6;2;6;4;17;17;11;12;4;12;6; ;12;10; ;1;1;4;2;15;9; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;21;21;21; ;1; ; ; ;14;14;6;2;6;7;14;11; ;4;1;10;7;4;5;1; ;3;3;4;4; ;1;18;2;1;4; ;2;15;3;3;10;15;6;7;1;14;6;1;4;3;1; ; ;3; ;13;6; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;13;13;13;1; ; ; ; ;11;12;5;4;5;5;11;7; ;2;1;10;7;7;6; ; ;2;2;3;3; ;1;10; ;2;2;2;3;3;2;3;11;10;10;8;5;11;2; ;4;3; ; ;1;6;1;11;9; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;18;18;18; ; ; ; ; ;12;12;10;6;8;7;14;5; ;2;1;12;9;3;4;3;4;4;4;3;2; ; ;12;3; ;1; ;7;6;1;1;11;13;5;7;3;9;5;4;7;6; ; ;1;9;1;14;6; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;11;11;11; ; ; ; ; ;7;8;6;1;3;2;10;5; ; ;1;9;4; ;4; ; ; ; ; ; ; ; ;6;2;3;6; ;5;1; ;3;11;10;6;8;4;4;4;3;4;4; ; ; ;3; ;7;5; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;247;247;246; ; ; ; ;1;236;201;116;34;76;95;241;67; ;41;15;228;48;86;49;13;5;25;31;42;17; ;11;228;2;5;47;12;158;22;20;35;229;170;125;95;35;114;78;55;118;105;3; ;10;55;37;217;170; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;173;163;163;8;1; ; ;1;143;117;80;80;95;83;149;74; ;29;9;152;14;26;23;7;11;21;21;24;11; ;4;1; ;158;63;7;102;1;7;41;154;104;42;92;92;1; ;163;79;43;15;17;4;95;76;98;63;5;48;46;44;1
Buenos Aires;ARRECIFES;Estatal;Rural;17;17;17; ; ; ; ; ;14;13;6;2;5;6;14;6; ;6; ;12;3;3;3; ; ;1;2;1; ; ; ;15;2; ;1;1;4;10;2;2;13;16;4;9;2;6;6;5;4;3; ; ;1;6;2;9;6; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;29;29;29; ; ; ; ; ;26;19;10;4;15;16;25;15; ;7;2;23;8;11;5;2; ;5;8;4;5; ;4;23;5;1;7;2;15;5;4;3;26;16;13;11;7;15;9;5;15;15; ; ; ;10;7;25;19; ; ; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;185;181;181; ;1; ; ;1;133;156;99;32;61;64;164;60; ;19;13;151;65;41;54;15;8;19;23;24;18; ;3;149;9;16;46;10;114;11;12;26;170;128;95;78;49;122;51;8;77;62;6;4;5;76;50;157;123; ; ; ; ; 
Buenos Aires;AVELLANEDA;Privado;Urbano;111;111;111;1; ; ; ;1;94;98;82;68;74;61;107;51; ;22;9;105;30;19;21;8;16;20;18;15;9; ;9; ; ;110;32;2;82;7;5;24;109;89;34;76;72;1; ;110;45;16;12;16;1;71;65;59;36;13;29;26;28;4
Buenos Aires;AYACUCHO;Estatal;Rural;42;41;32;3;7; ; ;1;23;28;14;4;9;20;29;15; ;1; ;28;11;8;6;2;1;1;6;3;1; ; ;37; ;1;1; ;6;24;4;5;25;36;10;19;3;21;13;8;10;9; ; ;1;4; ;25;9; ; ; ; ; 
Buenos Aires;AYACUCHO;Estatal;Urbano;24;24;23; ;1; ; ; ;21;18;9;5;9;15;19;10; ; ;2;16;7;11;4;1;1;5;8;4;3; ; ;17;2;4;6;1;10;3;7;2;22;13;9;9;3;10;6;8;13;12;1; ; ;8;5;21;14; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Rural;44;44;31; ;12;1; ; ;22;29;13;7;13;18;26;13; ;2;1;26;14;4;5;1;2;1;2;5;2; ; ;39;3; ; ; ;9;33;2;2;17;38;11;14;4;9;10;25;11;10; ; ;1;5;2;20;10; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Urbano;61;61;61; ; ; ; ; ;47;48;32;13;24;24;53;29; ;6;4;50;27;13;15;3;2;7;10;7;7; ;3;53;6;2;3;7;31;13;13;7;58;46;25;24;10;29;19;13;26;23;3; ; ;17;9;47;31; ; ; ; ; 
Buenos Aires;AZUL;Privado;Urbano;21;21;21; ; ; ; ; ;13;18;9;6;18;12;20;12; ;3; ;20; ;3;5; ; ;5;4;4;2; ;1;1;3;17;2;1;14;1;2;3;21;17;9;13;11;3;3;15;9;5;1;1;2;11;6;13;6;4;4;7;7; 
Buenos Aires;BAHIA BLANCA;Estatal;Rural;6;6;6; ; ; ; ; ;4;6;3;4;4;3;6;4; ;1;1;4;2; ;2;1;1;2;1;1;1; ; ;2;4; ; ; ;3;2;2; ;5;4;2;3;1;3;2;1;2;2; ; ; ;1;1;5;2; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Estatal;Urbano;197;195;195; ; ; ; ; ;158;171;96;33;79;75;179;92; ;22;9;158;72;71;62;15;11;38;35;35;34; ;7;145;19;25;16;5;144;11;23;18;186;142;115;72;36;123;26;46;109;94;6;4;5;57;30;171;127; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Privado;Urbano;86;86;86; ; ; ; ; ;79;68;49;48;58;44;83;40; ;13;7;80;7;16;14;7;11;17;13;16;9; ;4; ; ;85;12;5;64;6;5;21;85;71;43;56;38;1; ;85;49;20;14;15; ;37;32;55;36;12;23;15;19;4
Buenos Aires;BALCARCE;Estatal;Rural;35;34;34; ; ; ; ; ;19;25;12;4;10;7;28;14; ;1; ;18;16;3;5;2;1;3;2;5;4; ; ;33;1;1; ; ;5;31;1;2;26;34;8;11;2;14;14;7;13;13; ; ; ;7;1;18;7; ; ; ; ; 
Buenos Aires;BALCARCE;Estatal;Urbano;44;44;43; ;1; ; ; ;35;32;21;10;18;18;34;23; ;7;2;32;14;15;14;4;2;5;9;5;6; ;3;33;2;5;8;2;26;9;4;2;36;28;18;23;9;23;9;12;25;22; ;1;2;13;6;31;25; ; ; ; ; 
Buenos Aires;BALCARCE;Privado;Rural;5;5;5;2; ; ; ; ;4;3;2;2;2;1;5; ; ; ;1;5;2;1; ; ; ; ; ; ; ; ; ; ;1;4; ;2;1;1; ;1;4;5;4;4;3; ; ;5;4;2;2; ; ;3;1;4;3;1;2;1;2; 
Buenos Aires;BALCARCE;Privado;Urbano;4;4;4; ; ; ; ; ;4;4;4;2;4;4;4;3; ;1; ;4; ;3;3; ;1;1;3; ;1; ; ;1; ;3;1;1;2; ; ;1;4;4;3;3;3;1; ;3;3;3; ; ; ;3;3;4;3; ;3;3;1; 
Buenos Aires;BARADERO;Estatal;Rural;26;25;21;5;2;1; ; ;15;21;15;7;10;10;18;9; ;7;2;19;7;4;2;1;1;1;2;1; ; ;1;21;4;1; ; ;3;20;4;2;20;21;7;11;1;11;8;7;10;8; ; ;2;5;2;15;7; ; ; ; ; 
Buenos Aires;BARADERO;Estatal;Urbano;39;39;38;1; ; ; ; ;30;29;10;5;7;8;30;11; ;4;1;24;8;7;7; ;1;1;1;6; ; ; ;35;3;1;3;1;24;10;2;6;33;29;18;10;3;15;10;14;16;16; ; ; ;7;3;30;20; ; ; ; ; 
Buenos Aires;BARADERO;Privado;Urbano;9;9;9; ; ; ; ; ;8;8;7;4;5;5;9;5; ;2; ;9;1;6;2; ;2;3;3; ;1; ; ; ;1;8;2;1;6; ; ;1;9;9;6;7;3; ; ;9;7;2;1;4; ;3;1;8;7;1;2;2;2; 
Buenos Aires;BENITO JUAREZ;Estatal;Rural;14;14;14; ; ; ; ; ;12;13;11;4;9;7;14;10; ;2; ;12;8;2;6;1;1;3;3;3;3; ;1;14; ; ; ;1;5;9;1;2;14;12;8;6;1;10;3;1;10;10; ; ; ;1; ;12;6; ; ; ; ; 
Buenos Aires;BENITO JUAREZ;Estatal;Urbano;16;16;16; ; ; ; ; ;14;16;12;5;7;7;15;11; ;4;2;15;9;7;7;3;1;3;3;4;4; ; ;9;4;3;2;2;4;5;2;3;16;14;12;9;4;8;7;1;10;9; ; ;1;5;3;15;14; ; ; ; ; 
Buenos Aires;BERAZATEGUI;Estatal;Urbano;186;184;183;2; ; ; ;1;153;151;118;40;58;58;176;64; ;31;16;152;41;64;60;16;7;16;24;36;16; ;8;169;4;7;44;12;96;20;33;29;178;139;112;75;35;102;53;29;94;78;2;3;11;48;27;178;133; ; ; ; ; 
Buenos Aires;BERAZATEGUI;Privado;Urbano;101;99;99;9; ; ; ; ;85;86;68;59;63;50;91;45; ;19;16;96;23;12;18;9;10;18;13;15;14; ;4;7;1;91;41;6;65;3;9;22;97;70;34;63;66;1; ;98;35;17;7;11; ;63;57;57;40;4;27;27;27;3
Buenos Aires;BERISSO;Estatal;Urbano;56;56;56; ; ; ; ; ;38;39;26;7;14;17;48;23; ;7;4;44;9;18;14;4; ;6;7;9;8; ;2;53;1;2;9;2;38;5;10;7;55;34;32;21;16;32;9;15;25;23;1;1; ;17;10;49;38; ; ; ; ; 
Buenos Aires;BERISSO;Privado;Urbano;22;22;22; ; ; ; ; ;16;19;15;10;12;12;21;12; ;3;1;21;2;2;4;2;1;4;3;2;3; ; ; ;1;21;4;1;18;1;2;3;21;15;6;9;7;1; ;21;7;4; ;3; ;7;7;12;11; ;9;7;7;1
Buenos Aires;BOLIVAR;Estatal;Rural;40;40;40; ; ; ; ; ;21;33;14;7;16;12;32;12; ;1; ;27;19;6;3;1;1;2;2;4;1; ; ;37;2;1;2;1;13;26;1;5;16;38;3;15;2;19;10;11;15;14; ; ;1;5;1;13;4; ; ; ; ; 
Buenos Aires;BOLIVAR;Estatal;Urbano;38;38;38; ; ; ; ; ;28;28;15;5;11;11;29;16; ;2;5;25;17;14;10;1;2;4;5;6;3; ;1;35;1;2;3;2;18;14;4;4;29;34;17;13;7;20;7;11;11;9;1; ;1;11;5;28;19; ; ; ; ; 
Buenos Aires;BOLIVAR;Privado;Urbano;7;7;7; ; ; ; ; ;5;5;3;6;4;4;7;6; ; ; ;6; ;1; ;1;2;1;1;4;3; ; ; ; ;7;2;1;5; ; ;1;7;6;4;4;6; ;2;5;1; ;1; ; ;6;4;4;3;1;2;2;2;1
Buenos Aires;BRAGADO;Estatal;Rural;23;23;22; ;1; ; ;1;22;21;12;7;11;9;20;8; ;1;2;20;11;6;6;2; ;2;2;4;3; ;1;16;5;2;3; ;13;11; ;2;17;21;4;8;3;14;5;4;8;6; ; ;2;4;2;14;7; ; ; ; ; 
Buenos Aires;BRAGADO;Estatal;Urbano;29;29;29; ; ; ; ; ;29;27;21;8;15;14;28;13; ;5;5;25;17;9;7;3;2;7;5;8;4; ;1;19;1;9;4;3;18;4;5;5;28;19;15;11;4;23;6; ;14;13; ; ;1;8;7;24;17; ; ; ; ; 
Buenos Aires;BRAGADO;Privado;Urbano;5;5;4;1;1; ; ; ;5;3;4;4;5;4;5;3; ;1;1;4; ;2; ; ;1;2;1;1;1; ;1; ; ;4; ; ;2; ;1;1;4;4;3;3;4;1; ;4;3; ;2;1; ;4;3;2;1;1;1;1;3; 
Buenos Aires;BRANDSEN;Estatal;Rural;29;29;28; ;1; ; ;2;18;20;10;5;7;9;21;9; ;2;2;19;5;4;4;1;2;2;1;5;2; ; ;26;1;1;1;1;8;16;4;1;24;19;9;13;5;12;9;8;15;12; ;1;2;6; ;20;5; ; ; ; ; 
Buenos Aires;BRANDSEN;Estatal;Urbano;21;21;21; ; ; ; ; ;15;20;15;3;7;8;18;5; ;2;1;16;8;8;8;2;1;3;3;3;1; ;2;14; ;2;1; ;9;2;3;2;13;5;10;3;2;15;2;4;11;11; ; ; ;8;3;19;15; ; ; ; ; 
Buenos Aires;BRANDSEN;Privado;Urbano;10;8;8; ; ; ; ; ;6;6;6;5;2;2;8;2; ;1;1;8;1;3;1; ; ;1;1; ; ; ; ; ; ;8; ;2;4; ;1;1;8;8;4;7;4; ; ;8;2;1;1; ; ;4;4;5;3; ;2;3;2; 
Buenos Aires;CAMPANA;Estatal;Rural;18;18;17;1;1; ;1; ;15;16;7;3;6;7;14;4; ;1;3;11;3;5;6;2;2;5;4;5;3; ;1;15;2; ; ; ;5;13;2;1;16;12;7;8;4;9;7;2;8;7; ; ;1;5;1;13;10; ; ; ; ; 
Buenos Aires;CAMPANA;Estatal;Urbano;72;72;72; ; ; ; ; ;63;60;38;12;19;18;66;15; ;8;12;58;12;27;22;4;3;8;9;7;2; ;1;61;3;4;8;2;38;13;12;11;66;46;33;28;10;30;19;23;30;27;2; ;1;19;11;59;44; ; ; ; ; 
Buenos Aires;CAMPANA;Privado;Urbano;37;37;37;5; ; ; ; ;30;35;22;23;16;14;37;12; ;6;6;36;9;5;10;1;7;5;5;5;1; ;1; ; ;37;8; ;30;4;2;7;37;36;18;25;9; ; ;37;17;4;4;8;1;12;8;23;13;2;5;4;5; 
Buenos Aires;CAÑUELAS;Estatal;Rural;26;26;26;1; ;1; ; ;16;20;10;2;4;8;22;6; ; ;1;16;4;5;6;2; ;1;3;4;1; ; ;24;2; ; ; ;12;16;2; ;19;26;6;13;3;9;4;13;14;13; ; ;1;9; ;11;4; ; ; ; ; 
Buenos Aires;CAÑUELAS;Estatal;Urbano;55;55;53; ; ; ; ;2;43;36;18;5;14;19;44;17; ;5;2;44;16;11;15;4; ;6;8;8;4; ;4;51;1;1;3;2;28;10;9;12;52;41;23;20;10;27;13;15;33;31;1; ;1;11;6;42;19; ; ; ; ; 
Buenos Aires;CAÑUELAS;Privado;Urbano;17;16;16;2; ; ; ; ;16;14;10;11;11;10;16;10; ;2;3;15;4;3; ; ;1;2;1; ;2; ; ; ; ;16;4; ;12;4;2;4;16;14;9;14;12; ; ;16;11;5;4;1;1;12;10;12;6; ;2;2;2; 
Buenos Aires;CAPITAN SARMIENTO;Estatal;Rural;9;9;9; ; ; ; ; ;5;5;5;3;3;2;8;2; ; ; ;6;2;1;1;1;1; ; ;1; ; ; ;8;1; ; ; ;4;5;1; ;4;7; ;2; ;6;1;2;4;4; ; ; ;1; ;3;1; ; ; ; ; 
Buenos Aires;CAPITAN SARMIENTO;Estatal;Urbano;18;18;18; ; ; ; ; ;16;14;8;6;8;8;16;5; ;4;1;13;2;8;7;3;4;6;7;9;2; ;1;14;3;1; ;1;12;2;1;3;16;13;13;9;5;12;4;2;14;13; ; ;1;9;6;16;14; ; ; ; ; 
Buenos Aires;CARLOS CASARES;Estatal;Rural;35;35;35; ; ; ; ; ;18;23;10;6;4;9;24;12; ;2;3;19;15;2;6;1;2;2;2;3;1; ; ;28;4;3;1;3;10;18;4;4;26;32;17;16;5;16;8;11;6;5; ; ;1;6;3;24;13; ; ; ; ; 
Buenos Aires;CARLOS CASARES;Estatal;Urbano;20;20;20; ; ; ; ; ;13;19;14;6;9;6;20;6; ;2;3;17;13;7;6;3;2;3;5;8;2; ;1;11;2;7;9;2;14;3;1;3;20;12;16;7;3;16;4; ;10;9;1; ; ;7;4;18;12; ; ; ; ; 
Buenos Aires;CARLOS TEJEDOR;Estatal;Rural;30;30;30; ;3; ; ; ;17;26;19;8;11;10;27;14; ;3;1;22;5;4;6;3;1;2;3;5;4; ;1;25;5; ;3; ;5;20;4;4;21;28;12;11;3;15;11;4;13;13; ; ; ;3; ;12;8; ; ; ; ; 
Buenos Aires;CARLOS TEJEDOR;Estatal;Urbano;16;16;16; ; ; ; ; ;14;14;12;1;6;3;16;7; ; ;1;11;5;7;7;4; ;5;3;6;4; ; ;9;7; ;1;3;7;3;3;1;14;10;7;8;1;12;3;1;8;8; ; ; ;3;2;10;10; ; ; ; ; 
Buenos Aires;CARMEN DE ARECO;Estatal;Rural;18;18;18; ; ; ; ; ;8;12;2;1;1;4;11;6; ; ;1;9;3;2;2;2; ; ;1;3;1; ; ;17; ; ;2; ;2;11;2;2;8;14;3;3;1;9;5;4;6;5; ; ;1;7; ;12;3; ; ; ; ; 
Buenos Aires;CARMEN DE ARECO;Estatal;Urbano;26;26;25; ; ; ; ;1;18;17;9;5;7;8;21;8; ;1;1;16;8;9;4;1;2;1;2;2;1; ;1;21;1;3;4;1;9;6;4;2;23;20;12;8;2;11;10;5;11;9;1; ;1;5;3;23;13; ; ; ; ; 
Buenos Aires;CASTELLI;Estatal;Rural;17;17;16;1;2; ; ; ;7;8;5;1;1;2;15;4; ;1; ;12;1; ;2;1; ;1; ;3; ; ; ;12;3; ; ; ;3;10; ;3;5;15; ;2; ;10;5;2;4;4; ; ; ;1; ;9;3; ; ; ; ; 
Buenos Aires;CASTELLI;Estatal;Urbano;9;9;9; ;1; ; ; ;7;6;5; ;1;1;6;3; ; ;1;5;1;3;1;1; ;1;1;1;1; ; ;5;4; ; ; ;6;1;2;1;9;7;1;5; ;5;1;3;4;4; ; ; ;1; ;6;5; ; ; ; ; 
Buenos Aires;CHACABUCO;Estatal;Rural;32;30;30; ;2; ; ; ;21;21;9;6;10;13;25;7; ;1; ;22;13;6;6; ;1;4;5;5;3; ; ;19;8; ;3;1;9;8;6;3;23;24;11;14;3;13;7;12;9;6; ;1;2;4;3;21;12; ; ; ; ; 
Buenos Aires;CHACABUCO;Estatal;Urbano;50;50;50; ; ; ;1; ;32;34;17;13;17;18;40;15; ;3;2;38;19;8;11;2;3;5;7;5;6; ;1;34;10;5;5;1;33;9;4;7;43;42;28;26;11;27;11;12;13;11; ; ;2;11;5;40;30; ; ; ; ; 
Buenos Aires;CHACABUCO;Privado;Urbano;9;9;9; ; ; ; ; ;8;3;7;5;8;5;9;7; ;2;1;9; ;3; ;1;2;7;3;1;5; ;2; ; ;9;1; ;7; ;1;2;9;8;6;6;1;2; ;7;1; ; ;1; ;2;2;8;6;4;4;2;2; 
Buenos Aires;CHASCOMUS;Estatal;Rural;16;16;14;1;2; ; ; ;6;8; ; ;3;5;10;3; ; ; ;7;1;1;1; ; ;1;2;2;1; ; ;15;1; ; ; ;3;11;1;2;7;15;1;3; ;5;3;8;5;5; ; ; ;3; ;8;2; ; ; ; ; 
Buenos Aires;CHASCOMUS;Estatal;Urbano;59;59;56; ;2; ; ;1;32;49;26;11;23;20;54;31; ;4;4;44;21;11;16;3;2;4;6;8;5; ; ;51;3;3;6;3;22;24;7;3;48;47;20;24;10;34;16;9;18;15;1; ;2;20;8;46;24; ; ; ; ; 
Buenos Aires;CHASCOMUS;Privado;Urbano;10;10;10; ; ; ; ; ;8;10;6;5;8;6;10;7; ;1; ;10;1;3;3;3;1;3;2;2;2; ; ; ; ;10;5; ;8;1; ;2;10;9;7;6;5; ; ;10;4;2; ;2; ;4;4;8;5; ;4;3;3; 
Buenos Aires;CHIVILCOY;Estatal;Rural;31;31;31; ; ; ; ; ;13;21;9;6;14;9;22;16; ;1; ;19;16;2;4;1;1;1;1;4;2; ; ;23;4;3;4; ;16;14;1;5;22;27;8;9;4;23;3;5;8;7; ; ;1;3; ;13;6; ; ; ; ; 
Buenos Aires;CHIVILCOY;Estatal;Urbano;59;59;59; ; ; ; ; ;50;54;30;16;30;30;55;22; ;7;4;54;26;26;18;6;4;10;15;12;4; ;3;43;9;5;11;5;30;4;9;9;52;51;34;29;13;50;6;3;28;24; ;1;3;17;7;48;38; ; ; ; ; 
Buenos Aires;CHIVILCOY;Privado;Urbano;19;19;19; ; ; ; ; ;9;18;7;4;12;7;17;7; ;2; ;19; ;4;7;4;3;6;3;3;2; ; ; ; ;19;4; ;10;4;3;2;19;18;9;12;3; ; ;19;7;4; ;3; ;5;2;13;5;3;5;6;6;1
Buenos Aires;COLON;Estatal;Rural;12;12;12; ; ; ; ; ;8;8;6;2;3;2;9;2; ; ; ;8;4;2;1;1; ;1;1;1;2; ; ;9;1;1;1; ; ;9;3; ;10;10;6;6;2;3;4;5;3;3; ; ; ;2;1;9;4; ; ; ; ; 
Buenos Aires;COLON;Estatal;Urbano;22;22;22; ;1; ; ; ;19;19;9;4;13;11;22;12; ;2;3;21;5;14;10;2;2;9;9;5;7; ; ;16;1;4;1;1;12;5;2;3;20;20;14;18;8;7;12;3;15;11;2; ;2;11;6;21;17; ; ; ; ; 
Buenos Aires;COLON;Privado;Urbano;9;9;9; ; ; ; ; ;9;7;7;3;6;5;8;4; ; ; ;8;2;3;1; ; ;1;1; ;2; ; ; ;1;8;2; ;5; ;2; ;9;5;3;5;2; ; ;9;5;3; ;2; ;3;3;7;3; ;3;3;3; 
Buenos Aires;CORONEL DE MARINA L ROSALES;Estatal;Rural;17;17;16; ; ;1; ; ;13;13;8;3;2;5;14;3; ; ;2;16;10;4;4; ; ; ; ;2; ; ; ;8;8; ; ;1;7;7;1;1;14;10;4;3;1;6;4;7;7;7; ; ; ;3;1;11;5; ; ; ; ; 
Buenos Aires;CORONEL DE MARINA L ROSALES;Estatal;Urbano;49;49;49; ; ;1; ; ;42;38;19;7;20;20;46;17; ;8;2;41;15;22;10;3;3;8;9;11;2; ;2;40;4;4;8;2;40;1;1;7;47;37;30;23;10;29;11;9;23;21;1;1; ;15;10;40;28; ; ; ; ; 
Buenos Aires;CORONEL DE MARINA L ROSALES;Privado;Urbano;9;9;9; ; ; ; ; ;8;9;6;4;6;6;8;3; ;2;1;8; ;2;2;1; ;4;4;3;1; ; ; ; ;9;2; ;7; ;2;1;9;4;4;4;3; ; ;9;3;1;1;1; ;4;3;6;3; ;3;3;3; 
Buenos Aires;CORONEL DORREGO;Estatal;Rural;26;26;24; ;3; ; ; ;16;18;9;6;8;11;23;7; ;1;1;18;12;6;8;1; ;3;4;4;1; ; ;18;5;2;4; ;7;11;4;2;15;21;5;8;1;18;2;6;19;19; ; ; ;5; ;12;6; ; ; ; ; 
Buenos Aires;CORONEL DORREGO;Estatal;Urbano;16;16;16; ;1; ; ; ;11;11;9;5;6;5;12;2; ; ;2;10;5;10;8;4;1;4;4;4;1; ; ;12;3; ;2; ;5;5;3;3;12;13;11;9;2;9;2;5;13;13; ; ; ;3;3;14;12; ; ; ; ; 
Buenos Aires;CORONEL DORREGO;Privado;Urbano;5;5;5; ; ; ; ; ;4;4;4;3;3;4;5;3; ;2; ;4;1; ;1; ; ; ; ; ; ; ; ; ; ;5;1; ;4;1;1;2;5;5;2;3;2; ;4;1;2;2; ; ; ;1;1;3;2; ;2;2;2; 
Buenos Aires;CORONEL PRINGLES;Estatal;Rural;21;20;10;3;6; ;1;1;11;17;9;3;5;9;14;5; ;2;1;11;9;1;3;1; ;1; ;1; ; ; ;17;1;2;1;1;3;16; ;1;6;16;6;6;2;11;2;8;6;5; ; ;1;3;1;7;4; ; ; ; ; 
Buenos Aires;CORONEL PRINGLES;Estatal;Urbano;29;29;26;2;3;1; ; ;24;22;17;4;9;8;24;12; ;6;1;18;13;8;5;1; ; ;1;1; ; ;1;26;1;1;4;2;16;6;4;1;25;22;15;12;3;21;4;4;18;17; ;1; ;3;1;26;14; ; ; ; ; 
